Specimen,SpeciesExpanded,Inion_X,Inion_Y,Inion_Z,Asterion R_X,Asterion R_Y,Asterion R_Z,Asterion L_X,Asterion L_Y,Asterion L_Z,Lambda_X,Lambda_Y,Lambda_Z,Stylomastoid For. R_X,Stylomastoid For. R_Y,Stylomastoid For. R_Z,Porion R_X,Porion R_Y,Porion R_Z,Auriculare R_X,Auriculare R_Y,Auriculare R_Z,Parietal Notch R_X,Parietal Notch R_Y,Parietal Notch R_Z,Mastoidiale R_X,Mastoidiale R_Y,Mastoidiale R_Z,Lat. Glenoid R_X,Lat. Glenoid R_Y,Lat. Glenoid R_Z,Stylomastoid For. L_X,Stylomastoid For. L_Y,Stylomastoid For. L_Z,Porion L_X,Porion L_Y,Porion L_Z,Auriculare L_X,Auriculare L_Y,Auriculare L_Z,Parietal Notch L_X,Parietal Notch L_Y,Parietal Notch L_Z,Mastoidiale L_X,Mastoidiale L_Y,Mastoidiale L_Z,Lat. Glenoid L_X,Lat. Glenoid L_Y,Lat. Glenoid L_Z,Bregma_X,Bregma_Y,Bregma_Z,Post-toral sulcus_X,Post-toral sulcus_Y,Post-toral sulcus_Z,Glabella_X,Glabella_Y,Glabella_Z,Stephanion R_X,Stephanion R_Y,Stephanion R_Z,Stephanion L_X,Stephanion L_Y,Stephanion L_Z
Das Es Soltane 5,early H. sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.587443308,11.61812652,15.11347837,4.494667084,11.52390313,13.84297897,4.167285822,11.36012356,13.44335998,NA,NA,NA,5.67484469,11.45538974,17.21841762,3.823463062,13.47477551,13.37277616,16.1479,12.1657,14.9136,18.183,12.3079,13.5568,18.51,12.1816,13.1435,NA,NA,NA,17.16,12.1132,16.9783,18.607,14.3215,13.0637,10.91700907,9.404822981,1.281788235,10.74842342,18.65553672,4.016262176,10.70492176,20.63352837,6.001356481,5.60719846,10.90738192,4.169705614,16.74609443,11.54536024,3.936827159
Jebel Irhoud 1,early H. sapiens,12.1644,4.6706,14.0041,5.9071,7.732,12.1958,17.9691,7.9699,12.2103,12.3245,3.1456,8.0089,7.242403999,12.43831938,13.4213784,5.4706,12.3685,11.8332,5.0522,12.3213,11.5364,4.9077,9.736,11.5839,6.117751255,11.79226061,14.62719131,4.7228,14.3721,11.9993,16.4537,12.7581,13.4532,18.6007,12.9861,11.6341,19.0432,12.9028,11.2644,18.8595,9.9774,12.253,17.6121,12.1913,14.6669,18.9673,15.0039,11.8278,11.85092388,12.00825441,0.7428859,11.41283048,20.30000805,4.079010769,11.41017742,21.60874727,5.733582661,6.268463646,13.81229396,2.670389928,17.40418119,14.19888306,2.708859682
Jebel Irhoud 2,early H. sapiens,8.4421,3.4127,11.6264,2.895854861,7.547763275,11.46793976,14.2288,6.8317,11.7238,8.7759,4.1673,6.9996,4.412825034,11.94637675,13.5142128,2.170803643,12.30144092,11.79217568,1.851209681,12.50807725,11.51464107,2.087618519,10.27991161,11.55473699,3.266824744,10.93827103,14.69786339,2.430591181,13.94208738,12.53604855,13.1868,11.392,13.7123,15.5308,11.4573,12.0938,15.886,11.6213,11.8315,15.3696,9.4407,11.8546,14.1425,10.2511,14.9434,15.4463,13.1197,12.8299,9.361991548,14.94670582,1.168822765,9.475306364,22.2840335,8.013341313,9.56746349,22.77922939,9.335854221,3.174973086,16.30514519,5.099230332,15.34016031,15.53649735,5.373879835
LH18,early H. sapiens,12.8007,7.7771,9.5669,5.8611,10.7299,10.0558,17.5417,12.6152,10.0235,12.0393,9.1882,3.4501,6.9364,14.2891,13.3717,4.978,15.1011,11.5325,4.6695,14.9818,11.1645,4.9989,12.6794,10.5883,5.4907,13.5362,13.6248,5.3971,16.9504,12.6578,16.44135074,15.50813862,13.04587233,18.00333012,16.7716379,11.08599448,18.30642269,16.7307765,10.69702922,18.52996382,14.41479978,10.12445804,18.04380605,15.14617374,13.19448222,17.20841924,18.46523734,12.25291051,10.84169798,20.67840047,1.637193984,10.23995224,26.69261144,8.8627839,10.13570173,27.04382601,11.05661566,5.937028989,20.46135395,4.147703768,15.10611126,21.50307128,3.390741314
Omo 1,early H. sapiens,6.8774,9.4881,13.2206,0.6525,13.0793,11.9058,13.155,13.614,12.172,7.0484,9.8267,6.0625,2.0641,18.9748,13.5556,0.6103,19.4148,11.4998,0.2702,19.4728,11.1014,-0.3998,16.9453,11.984,1.1088,18.63,15.1594,0.206,21.302,11.8794,11.4991,18.8516,14.478,13.4762,18.8356,12.2065,13.5471,18.7569,11.8788,13.9091,15.846,12.3921,12.26005608,18.30029078,15.90858128,13.9423,21.0245,12.8182,7.47418271,19.7674724,0.242730649,9.031897209,28.67161761,4.966515384,NA,NA,NA,1.737771191,21.01169111,2.583117613,13.04578848,20.72186615,3.432590354
Qafzeh 6,early H. sapiens,8.4936,9.0856,14.4827,2.8811,12.3536,13.4188,14.7522,12.272,12.8739,8.9293,8.3966,7.4438,4.05979265,16.4554865,14.34758059,2.5794,16.4549,12.5039,2.1166,16.4646,12.2461,2.219,13.8812,12.5881,3.074157422,15.50449108,16.14962127,1.194672369,18.33396301,12.62041478,12.6896,17.269,14.2117,14.6489,17.5197,12.5759,14.9842,17.4922,12.1449,14.92311369,15.07878965,12.38806743,13.8913,16.5242,15.9793,15.098,19.6446,12.4015,7.711714883,17.16274849,1.023132956,7.451291085,24.67135229,5.380709125,7.270003083,25.93500186,7.517517443,2.204818392,17.57129755,3.872435152,12.835704,17.98654228,3.25944462
Qafzeh 9,early H. sapiens,9.1855,6.6057,12.7594,5.3965,12.2524,11.9141,15.5379,7.3317,11.8504,8.6387,4.6961,6.5906,8.3233,15.4304,12.9256,7.2697,16.1534,11.7135,6.459,16.6281,11.3067,5.3205,14.0532,11.1739,7.1698,15.1902,14.3162,7.2899,17.5555,11.7413,15.23740003,12.77077461,13.35334954,17.2697,11.4266,11.5706,17.8239,11.3101,11.3345,17.1475,8.8154,10.9152,15.77703274,11.87928251,14.84869734,17.8736,12.8194,11.9291,12.76678506,15.004492,-0.014057468,15.12815188,22.21332561,6.700926608,15.44340129,22.83854556,8.442831854,8.467042387,17.66833118,3.537719792,17.75481933,13.84513138,3.641576362
Skhul 5,early H. sapiens,26.1393,12.9712,17.0349,23.2304,6.7822,15.1315,22.6224,18.3964,15.1364,28.1553,13.4109,11.4443,18.159,7.9448,15.0319,18.0614,6.0907,13.8145,18.2512,5.7269,13.1999,20.6329,5.9136,14.1981,18.0642,7.0097,16.7088,16.3384,5.8267,13.4461,17.6079,16.8492,14.5288,17.5377,18.8174,13.2591,17.5197,19.2242,12.8352,20.6197,19.1917,13.9944,17.5439,17.8464,15.9364,15.5745,18.8451,12.9531,20.01242533,12.97597253,2.399029898,11.95980293,12.68547843,5.735710529,10.375093,12.39595463,6.721854712,18.82926488,7.458433863,5.271636466,18.23917831,18.2593874,5.149137521
Dmanini2,H. erectus,14.2696,10.0971,9.3642,9.1496,12.1266,8.6189,18.7345,13.1923,8.7062,13.2756,9.9632,5.973,NA,NA,NA,8.2729,17.8448,7.3572,7.8317,17.9094,7.0841,7.9959,15.6401,6.9824,8.671383384,16.66288187,10.13693659,7.8674,19.6195,7.731,NA,NA,NA,19.1399,17.8374,7.4626,19.5077,17.8259,7.1087,19.2297,15.3881,7.1732,18.3872,16.6486,9.7126,18.666,19.1444,7.8495,13.21527623,16.22268788,0.604901082,12.77396082,23.03898533,2.154810265,13.28100406,25.01065391,3.03240788,9.331168418,17.77349342,1.460113701,16.14431081,17.91348499,1.369220743
Dmanisi1,H. erectus,13.7408,10.9067,7.046,8.1468,13.4262,7.6365,18.5832,14.5263,7.7758,13.6335,11.9229,3.824,9.516606434,17.12674045,10.19991756,7.310050063,17.97630443,9.052226209,6.871083122,18.06839001,8.701862283,7.529990614,14.95640632,7.066812648,7.258255339,16.47104586,10.57736477,6.7063,19.241,9.1591,17.0118,17.4272,10.2194,19.1492,18.4509,9.083,19.5812,18.5779,8.7349,19.182,15.4235,7.0971,19.3134,16.9543,10.6087,19.3399,20.2895,9.9723,13.02680963,21.47000224,0.614112954,13.05308157,27.32889815,5.73272874,12.97351809,28.17328131,7.370832755,9.368724542,21.51993752,2.007907927,16.34943401,21.74912167,1.774272841
KNM ER 3733,H. erectus,13.0717,4.0904,10.797,7.3543,7.8394,11.2511,18.8094,8.0618,9.9835,13.0712,5.1302,4.9599,8.9524,11.5676,11.1608,6.6306,12.2417,9.5116,6.3329,12.2632,9.1018,6.2794,8.8168,9.1046,7.174,11.0404,12.167,6.6542,14.2455,10.1441,17.3748,11.6922,10.9425,19.2342,12.8416,9.4311,19.506,12.9099,9.1782,19.3313,8.8789,9.0158,19.1019,11.5025,11.7052,19.111,14.6353,9.9217,13.03892915,12.60125452,0.101669004,12.90342987,19.37248989,3.467811483,13.12969609,21.17066135,4.649187086,8.656506464,12.90130509,1.626709579,16.94874733,12.91184445,1.028663333
KNM ER 3883,H. erectus,11.9782,6.1168,8.8025,5.8618,9.5569,8.9895,17.4335,8.6165,7.8217,11.2095,7.7869,3.8297,7.6449,13.6658,11.234,5.2239,14.2308,9.8342,4.9183,14.3032,9.4576,4.9016,11.0699,9.453,7.1258,13.1747,13.0993,5.0987,16.3376,10.6249,15.8724,12.6412,10.4338,18.18565534,13.54339038,9.01427163,18.44742297,13.58570078,8.601781367,18.12269233,10.36873678,8.616666618,16.60852817,12.671796,12.49944623,18.63046936,15.61996044,9.768913962,11.48271378,15.43882586,0.198441153,12.17963458,22.58677792,3.586670034,12.11912924,23.94732307,5.214197744,7.291376394,16.4425246,2.084699917,15.42828119,15.98592053,1.286093079
KNM WT 15000,H. erectus,13.3526,4.3003,10.1439,7.7515,6.5921,9.0138,18.5016,6.8016,9.91,13.3766,3.9287,6.3659,8.3675,11.2003,11.0333,7.1731,11.7892,8.5831,6.9352,11.8421,8.1036,6.7685,9.0236,8.3354,7.7059,10.8804,11.6796,7.1421,13.3332,9.0001,17.1799,11.1509,11.2985,19.2047,11.9632,9.3054,19.4616,12.0428,8.9788,19.7697,9.2378,9.2372,17.6357,10.8058,12.1554,18.9869,13.6766,9.7829,14.21922872,11.49687333,0.184515514,14.0710875,17.59247615,1.591297495,NA,NA,NA,9.720132688,13.14250048,1.635358788,18.05473563,12.40384148,1.738527047
OH9,H. erectus,12.1728,8.3734,6.0082,6.2102,10.7823,6.8434,17.5046,12.6374,7.0605,NA,NA,NA,6.6856,14.3617,10.0894,4.719,15.1396,8.5318,4.1975,15.1716,7.9889,4.3611,13.6523,6.3115,5.7079,13.5788,11.4669,3.7734,16.7183,9.8247,15.818,15.5419,11.0003,17.8368,16.7318,9.1556,18.1845,16.7582,8.7556,18.2286,13.6936,7.3406,16.63502621,14.89653473,12.1215724,17.95017651,18.42791976,10.67406736,10.92774915,20.74410566,0.410033141,9.973143767,26.98955724,6.706519532,9.669336607,28.53747301,8.835576138,6.830802953,20.45908512,1.322187676,15.11618753,21.45824435,1.818586504
KNM ER 1470,early Homo,15.8133,5.2865,11.5167,11.3284,8.3037,10.6494,20.50218898,8.131638161,11.31712125,15.8368,4.4917,7.1082,NA,NA,NA,9.8445,13.2653,10.489,9.6038,13.2292,10.0718,10.5491,9.8767,9.2408,NA,NA,NA,9.6705,15.0897,10.5077,NA,NA,NA,22.9906,11.5079,10.3225,23.0874,11.6337,9.9742,22.3036,9.2842,8.2659,NA,NA,NA,22.41509687,14.85066477,11.43532523,16.72185297,11.9182497,0.938805393,16.99179471,18.34698847,2.634879625,16.89550817,20.34715218,4.661171667,14.25644027,12.64515868,1.438347614,19.56419293,10.65415933,1.954275767
KNM ER 1813,early Homo,17.0426,6.0973,9.9109,12.24,9.1712,8.7044,21.5816,7.9332,8.5584,16.8908,6.0294,5.608,13.30273244,12.01705243,10.32440919,11.8359,12.9818,8.0157,11.5932,13.0149,7.6223,11.9366,10.0866,7.3254,12.6575,11.8842,10.6169,11.7183,14.3819,8.3308,20.7606,11.4755,10.465,22.5504,11.8726,8.6897,22.8939,11.749,8.2835,22.2868,9.1716,8.2431,21.8447,10.9995,11.0667,22.8662,13.5455,9.1382,16.86495458,12.72180028,0.575397599,17.47091575,18.36837829,3.294217307,17.52820612,19.40185618,4.334237281,13.86205135,13.39734343,1.830702927,20.21761851,12.76061971,2.040075251
Broken Hill (Kabwe),H. heidelbergensis s.l.,13.6894,5.8348,13.9605,7.276160816,10.00364372,12.60373983,20.0803,9.9608,12.5326,13.6702,4.8533,8.5823,9.365119928,15.29037568,12.40621265,7.117845674,15.19495132,10.77307896,6.720605584,15.17289754,10.46177287,6.538939617,11.7687883,11.84135006,7.812803901,14.0056048,14.28822969,6.869331707,17.08065352,10.69100537,18.0247,15.2614,12.3581,20.253,15.151,10.7001,20.6466,15.1263,10.3844,20.8208,11.721,11.762,19.5892,13.9662,14.2228,20.5132,17.035,10.6152,13.55815962,12.95630014,0.41939413,13.55214068,22.59378855,2.843280404,13.69509392,24.03293439,4.494920333,8.120169707,14.8762594,3.031974893,19.22647448,14.43644958,2.673043025
Dali,H. heidelbergensis s.l.,18.0483,3.6363,11.8811,12.4187,8.1561,10.4829,24.1398,8.1422,10.8554,18.7057,3.9672,5.0418,13.8413,12.3299,11.5126,11.5616,13.0362,10.0618,11.1697,12.9896,9.7337,11.4501,10.2555,9.996,13.2289,12.0493,12.5998,11.5284,14.6092,10.6319,22.57,12.2829,12.1837,24.9077,13.0956,10.6936,25.3916,13.157,10.4833,25.1196,10.4385,10.5138,23.4208,11.9403,13.3996,24.713,14.5918,11.2029,18.50503932,13.14398105,0.055205573,18.28105538,21.75689704,3.60081703,18.20760259,23.08400252,5.506394321,13.16911443,14.70312895,2.180442473,23.05778132,14.26596329,2.206479716
Ndutu,H. heidelbergensis s.l.,11.7383,9.3295,11.2833,5.4185,11.6791,9.945,17.1541,12.4006,10.4059,12.3152,8.8356,5.6285,7.077522813,16.16054459,11.4308806,4.9475,16.7629,9.6372,4.8128,16.7635,9.456,4.5956,13.6285,9.3951,5.6637,14.9065,12.3889,4.970386245,18.38816442,10.41840296,15.4029,16.5099,11.8311,17.639,17.1497,10.0552,17.9182,17.1008,9.6145,17.9595,14.5001,9.0433,16.2074,15.7717,12.9388,17.4037,18.9099,11.0161,NA,NA,NA,11.50724753,25.23137016,5.01319205,11.39506158,26.38664936,6.266560314,6.459299982,19.19951814,2.599296751,16.60776019,19.62537506,3.087155802
Petralona,H. heidelbergensis s.l.,6.8849,5.6837,12.5332,4.9239,13.5763,11.4755,14.7683,5.1359,11.9739,6.9256,5.7935,7.0507,NA,NA,NA,7.7781,18.1195,10.9837,7.4341,18.4849,10.4145,6.7258,16.466,10.9953,NA,NA,NA,8.781796389,18.8911008,11.74758893,NA,NA,NA,19.126,8.7217,11.2625,19.4663,8.4806,10.7631,17.4446,6.7397,11.1148,NA,NA,NA,19.925,9.7564,11.8769,13.48984074,12.50806491,0.249031252,18.22437005,18.80574869,3.364212109,19.39012039,20.22424733,5.614937565,10.44561156,18.25343634,3.323548941,19.08330291,10.99544646,4.099524808
Sima Craneo 5,H. heidelbergensis s.l.,15.0783,7.2484,9.485,9.2053,10.5965,9.2287,20.6176,11.0427,9.2816,14.8072,8.3406,3.9408,10.2801,14.3148,11.493,8.4088,14.9813,10.3949,7.9228,14.977,9.8249,8.0402,13.2155,9.0905,9.3643,13.0972,13.2207,7.9592,16.4385,11.2341,18.8243,15.1938,11.6737,21.1269,15.6001,10.446,21.4875,15.6532,9.9884,21.3954,13.3113,9.3783,20.1206,13.4027,13.3511,21.313,17.0111,11.268,14.87182074,18.00970677,0.965425462,14.39892977,23.98705917,6.106091075,14.4078116,24.81740493,7.762323696,9.110197197,18.90239342,4.22758791,20.19108905,19.20576116,4.292064174
Amud 1,H. neanderthalensis,9.4093,6.3476,11.1075,5.9513,13.0453,12.1635,17.2392,6.1377,10.599,9.708,6.3257,3.9639,9.516132208,15.43629823,13.73834478,8.6292,16.9991,13.0569,8.1348,17.4536,12.7464,6.255353824,15.06983908,11.4019638,8.451712573,15.56347246,15.37553942,8.9971,18.4772,13.2408,17.799,10.6134,13.431,19.7043,10.26,12.0863,20.1511,10.2253,11.4676,18.9558,7.6747,10.9307,18.5239,9.6987,15.0018,20.6331,11.4962,12.5294,15.13983674,15.92112708,0.5280693,18.96428006,22.20392676,6.223010217,19.60873808,23.36488932,8.717367519,10.93800518,19.38158411,3.672693794,20.19529538,13.04127081,3.788928293
Gibraltar 1,H. neanderthalensis,13.8863,7.9563,11.7971,8.2261,11.1455,10.7259,19.67007892,11.23840616,10.98614903,13.8663,7.1981,6.2625,9.6561,14.9363,11.6096,8.0235,15.3869,10.4779,7.6741,15.4946,10.3439,7.9419,12.8469,10.4943,9.1828,14.4958,12.6246,7.5453,16.9941,10.5885,18.14006209,15.00517572,11.8025349,19.81488967,15.48262656,10.74604954,20.16822586,15.59603161,10.62803056,19.93686625,12.94427926,10.7670791,18.57382098,14.57203954,12.83816244,20.26142454,17.09733387,10.87767906,14.21211645,16.37772833,0.350471155,13.88457888,23.16250619,3.110558731,13.8682406,24.79558311,5.613858978,8.553683999,16.64015441,2.637146917,19.62139411,16.73000588,2.888839167
Guattari 1,H. neanderthalensis,14.5622,6.6212,12.806,9.121,10.391,12.0593,21.1819,10.0016,11.4843,14.4515,5.2754,6.7345,10.6993,14.9071,12.706,8.8415,15.2534,11.6374,8.1935,15.3412,11.1914,8.3916,12.8486,11.8447,9.8322,14.3903,14.1856,8.6392,16.8071,12.4318,19.8919,14.5414,11.9485,21.7216,14.8186,10.6358,22.2482,14.8303,10.193,21.9115,12.4571,10.8409,20.70910567,14.04466234,13.53037508,21.9499,16.3259,11.4576,14.68137698,13.61408168,0.294288886,14.74979607,21.9195359,3.163449739,15.16472895,23.99255058,4.804342855,8.962576818,15.89993921,3.205934263,20.12647497,15.38082241,2.338822318
Krapina 3,early H. neanderthalensis,NA,NA,NA,6.2532,12.413,10.9922,18.61537226,11.6988242,10.43152718,NA,NA,NA,7.9596,16.3689,12.364,6.0944,16.9539,10.7543,5.7128,17.0397,10.3312,5.6257,14.2606,10.645,6.8894,15.9271,13.3992,NA,NA,NA,17.5056697,15.81741343,11.93104844,19.27285467,16.1925667,10.15660558,19.62204747,16.23614802,9.700361275,19.41714396,13.46385365,10.01950412,18.60700961,15.25016126,12.86776062,NA,NA,NA,12.16285635,15.66701141,0.162276322,12.77894364,23.95501821,3.065210412,13.0143538,25.31660367,4.69461383,NA,NA,NA,NA,NA,NA
La Chapelle aux Saints,H. neanderthalensis,20.2138,5.3829,11.1852,14.321,9.3808,10.54,25.7902,10.2195,10.9409,20.2861,5.809,4.4739,15.7694,14.0339,11.6139,13.7553,14.5031,10.8732,13.2629,14.6081,10.4806,13.5018,12.3375,10.3451,14.982,12.9324,13.3172,13.1469,16.2059,11.8478,24.4902,14.2773,12.0187,26.4242,14.6266,10.9564,26.7471,14.6463,10.7611,26.3676,12.2082,10.6089,25.1068,13.5704,13.7798,26.7668,16.2991,11.6384,19.56495348,15.82060184,-0.037088913,19.60304285,23.52467912,4.057046862,19.63139314,24.79189705,5.322091225,13.57977962,17.48892743,3.464706525,25.69720688,17.35817058,3.098079057
La Ferrassie 1,H. neanderthalensis,19.3123,8.1997,12.9809,13.09705972,12.06675495,12.10819051,25.6631,10.9677,11.6692,19.1648,6.9327,6.5972,14.7124,16.1805,12.6734,12.94,16.8527,11.5147,12.5017,16.9729,11.1789,12.4908,14.1851,11.1969,13.51656553,15.40544376,14.58375012,12.60801279,18.64008907,12.2991375,24.928,15.5531,12.8563,26.7133,15.7033,11.3828,27.077,15.6537,11.0004,26.783,12.7812,11.0374,26.0013,14.3135,14.1476,27.2965,17.3554,11.786,19.32138414,15.64530492,0.33245366,20.09674693,24.01676175,3.259720316,20.30272867,26.05654845,5.153648956,13.79896794,17.87541547,3.276815329,25.30581685,16.96058879,2.867787549
Quina 5,H. neanderthalensis,19.6002,8.9286,9.8304,14.3361,12.8772,9.756,25.5526,13.3588,10.1576,19.7835,9.7655,3.8602,16.2541,16.7223,12.1547,14.5982,17.5051,11.2831,14.154,17.6665,10.9481,13.9562,15.315,10.413,15.5270828,16.25948456,13.32197364,14.5163,19.1476,12.1645,23.8468,16.8752,12.1511,25.6789,17.5378,11.1207,26.0395,17.5411,10.7768,25.9461,15.0104,10.2485,24.7359,16.1962,13.2331,25.9294,19.1833,11.8483,20.19461293,19.12746869,0.127572243,20.12100808,26.8440877,4.273895681,20.01654603,27.79168877,6.057006345,14.82801008,20.40469337,3.433280174,25.17634545,20.40377831,4.002506375
Saccopastore 1,early H. neanderthalensis,14.052,5.5436,11.2613,8.2999,8.5936,9.9482,20.0319,8.8045,10.2054,14.094,4.6713,4.8235,9.7292,12.6135,10.9945,7.9808,12.8576,9.9339,7.6455,12.8504,9.7699,7.79,10.8541,10.0796,8.9697,12.149,12.3544,NA,NA,NA,18.1866,12.9151,11.3485,20.0575,13.1175,10.2523,20.4134,13.1196,9.9351,20.354,11.0917,10.4694,18.9737,12.2809,12.9021,NA,NA,NA,14.06812033,13.87215199,0.036777925,13.98351066,20.71815021,3.243846274,NA,NA,NA,8.639624026,14.81622354,2.194508487,19.32734972,15.07733246,3.137856991
Shanidar 1,H. neanderthalensis,13.3767,2.739,11.5173,7.7778,7.2138,11.4726,19.7199,6.925,12.1184,13.5999,2.4316,6.0494,9.8434,11.4395,13.3023,7.6856,11.8191,11.9899,7.3867,11.8842,11.7069,7.2071,9.0572,11.5773,8.8414,10.2664,14.5224,7.3752,13.5787,12.6654,18.6756,11.2512,13.5002,20.4067,11.5359,12.0825,20.9029,11.568,11.6627,20.9343,8.8298,11.6218,19.4511,10.1979,14.7192,20.7169,13.337,12.7998,14.04106981,14.29492029,0.76722922,13.815478,20.97844468,6.181446111,13.99509271,22.2691209,8.153627766,8.044263794,15.79513011,4.831521805,19.96361646,15.79711347,4.934278829
Tabun C1,early H. neanderthalensis,8.884,6.4972,13.1214,4.5115,11.6246,10.966,14.9008,6.2099,11.4648,8.4246,4.7062,7.6752,6.9591,14.8502,11.8983,6.2155,15.4428,10.3104,5.7526,15.7293,9.8779,4.6432,13.5057,10.0468,5.8575,15.0927,12.512,6.851510572,16.78951892,10.31686719,16.5873,10.9409,12.0268,17.7937,9.7375,11.0921,17.83605514,10.15763566,10.67350143,16.84659525,7.878731438,10.85029855,17.209,10.2462,13.1788,17.88488282,11.70204633,11.04332883,12.27800606,11.80211516,0.846958807,15.05816677,18.57334015,2.81728025,15.60602201,20.21477851,4.315477144,7.214931791,15.46423595,2.381014583,17.50547266,10.71928188,3.058566567
Abri Pataud,Upper Paleolithic H. sapiens,18.1639,10.4859,12.3708,12.8853,14.1533,11.1341,23.3699,14.2162,11.3279,18.7715,10.0495,5.8911,13.8454,18.5649,12.4885,12.2438,18.8566,11.0728,11.9954,18.9015,10.7787,12.0756,15.4844,10.4347,12.6532,18.15,14.0608,11.9056,20.7649,11.3464,22.1325,18.5912,12.821,23.8231,18.953,11.6021,24.0856,18.8913,11.4205,24.3717,15.7554,10.8156,23.2592,17.8444,14.2533,23.9367,20.7543,11.9767,18.6380487,19.23127873,0.049565664,18.54531872,27.19233466,5.624410933,18.47191731,27.45895066,6.655946948,12.71245933,21.28332564,3.872800375,24.19747859,21.56942072,4.959212201
Brno 2,Upper Paleolithic H. sapiens,8.6199,6.8157,12.597,3.407,9.5004,11.7699,14.1017,10.3728,11.4314,8.5995,6.6835,6.6804,5.326687029,13.6125756,13.81646292,3.7097,14.1819,13.725,3.407,14.2485,13.5497,2.6519,11.8081,12.2734,4.7493,11.9721,15.811,NA,NA,NA,12.5266,13.9198,13.4413,13.9739,15.2097,12.3655,14.2117,15.2424,12.2665,15.1023,12.8071,10.6432,13.5644,13.3914,14.9128,NA,NA,NA,8.154129314,17.73814609,0.408252599,8.315259252,25.28324374,6.731433699,8.236828135,26.07581493,8.467810483,2.876550956,18.33986063,3.826023462,14.3577517,18.30533378,3.615926158
Chancelade,Upper Paleolithic H. sapiens,16.3841,20.5994,14.7357,21.3533,18.8266,13.3773,11.5127,17.8288,12.7247,16.135,22.1915,8.8015,21.1302,12.9032,14.1265,22.769,12.8408,12.4701,23.0385,12.8922,12.0517,23.0413,15.5695,12.27,22.0678,13.0236,15.7885,23.2667,11.1153,12.4321,12.7539,12.5962,14.0491,11.3424,12.2978,12.3764,10.8309,12.2985,11.9481,10.2716,14.6908,12.0229,11.7108,12.6207,15.5387,10.9178,10.5674,12.1646,16.43233649,13.90647364,0.051488244,17.39580231,4.577629542,5.686440428,17.43573764,4.413135084,6.376583053,22.95141091,11.0333946,4.532295155,11.29212135,11.17400861,3.441754173
